site,pillar,indicator,raw_value,bg_median,anomaly,bg_std,bg_std_spatial,bg_std_temporal,z,score,confidence,qa,n_valid,anomaly_strength,spatial_context,extra_note
Jamnagar refinery,air,air.aai,0.697613963109978,0.6063318379013742,0.09128212520860379,0.28597551078434985,0.06734573057350444,0.28597551078434985,0.3191956016032379,0.10639853386774595,0.7251149425287355,0.85,1.0,0.08045977011494253,1.0,
Jamnagar refinery,air,air.aod,396.04987223755336,374.9545060295719,21.095366207981442,288.4802428874249,29.66637931727055,288.4802428874249,0.0731258612265298,0.024375287075509934,0.7269444444444445,0.9,1.0,0.027777777777777776,1.0,
Jamnagar refinery,ghg,ghg.ch4,1924.74878486145,1924.8891068025926,-0.14032194114247432,15.00074358841353,6.463766653362992,15.000743588413531,-0.009354332357954442,0.0,0.4946415385973004,0.85,1.0,0.0,0.4220128216441705,context — not scored (M-CH4-A1 reference)
Jamnagar refinery,ghg,ghg.co2,18809.98613069257,,,,,,,0.6995551930480611,1.0,1.0,1.0,1.0,1.0,"context — not scored; rel_intensity=5.006741775096304 (cap 10), total_tCO2yr=1581735.4219625131"
Jamnagar refinery,ghg,ghg.viirs,61.02089144842965,,,,,,,1.0,0.925,0.85,0.9,1.0,1.0,"flaring_frac=0.31875200706486834, lit_contrast_pct=0.9753460525179243, state=high"
Ganzhou rare-earth processing,air,air.no2,86.77902235649965,81.21796223810713,5.561060118392518,22.32352465655301,2.933541436318454,22.32352465655301,0.2491121005284479,0.08303736684281596,0.705875,0.9,1.0,0.09210526315789473,1.0,
Ganzhou rare-earth processing,air,air.so2,25.634390452379762,22.430259877369423,3.204130575010339,285.9598381647288,90.49490409403118,285.9598381647288,0.011204827207814341,0.0037349424026047805,0.5353333333333333,0.75,0.7777777777777778,0.0,1.0,
Ganzhou rare-earth processing,air,air.co,47.56038999408505,46.298358201663504,1.2620317924215456,4.564636184325038,1.3218972260273034,4.564636184325038,0.276480258548395,0.09216008618279833,0.6040000000000001,0.85,1.0,0.2,1.0,
Ganzhou rare-earth processing,air,air.hcho,136.17289850632847,139.55952170581463,-3.3866231994861664,78.22367600971829,19.004683657354896,78.22367600971829,-0.043294094221107964,0.0,0.6759999999999999,0.85,1.0,0.02631578947368421,1.0,
Ganzhou rare-earth processing,air,air.pm25,,,,,,,,,,,,,,
